0|You are an Ex-NSA Hacker and have moved to Australia. You are looking for a job, and do some casual pentesting for small businesses. You sometimes do some private pentesting, where you are trying to explore vunerabilities in large cooperations. You manage to find a huge break in the Commonwealth Bank of Australia's infastructure. What do you do?|1|Exploit the vunerability and become filthy rich (risky)|1|2|Report the finding to the Commonwealth Bank of Australia|5|3|Don't do anything|2|0.png
1|You decide to exploit the vunerability you found. However, you realise that this was a massive mistake. The vunerability ended up being a honeypot, and you stupidly forgot to enable your VPN, leaving your location vunerable. Luckily, you did this exploit in an internet cafe. What do you do next?|4|Leave the internet cafe and destroy your computer|2|5|Come clean and wait for the authorities|5|6|Make up a story such as you were threatened to do it.|2|1.png
2|You have reported your finding to the Commonwealth Bank of Australia. However, they start asking questions like why you were nosing around in their infastructure. They want to have a formal interview. What do you do?|6|Make up a story saying you were threatened to do it and felt like you needed to report it|3|7|Go to the interview|5|8|Don't go to the interview|2|2.png
3|You have left the exploit open. The next day, you look at the news, and you see that the Commonwealth Bank of Australia has been hacked, and millions of dollars have been lost. The bank is urging anyone that knows anything about this hack to speak to them immediately. What do you do?|9|Speak to the bank|5|10|Don't speak to the bank|2|11|See if the exploit is still open, to become rich.|1|3.png
4|You have decided to destroy your computer and leave the internet cafe, however, there are cameras in the store and you suspect that there is evidence to you destroyed your computer in the back of the cafe. You suspect that the authorities are onto you. What do you do?|12|Run, don't look back|2|5|Come clean and wait for the authorities|5|6|Make up a story such as you were threatened to do it.|2|4.png
5|You have decided to come clean and wait for the authorities. You remain in the cafe and have been waiting for 15 minutes. You are now starting to believe that they won't show up. What do you do?|13|Remain waiting for the authorities|5|12|Run, don't look back|2|14|Attempt the exploit again with the cafe's free computer, as you believe that you can fully break the honeypot and steal money.|1|5.png
6|You have decided to make up a story. You wait for the authorities to show up, and they arrest you. You are in the interview room and tell them that you were threatened to do it. They believe you, but want more details. You make up details and you are released. What do you do next?|12|Run, don't look back|2|14|Attempt the exploit again with the cafe's free computer, as you believe that you can fully break the honeypot and steal money.|1|15|Go back to your normal job|5|6.png
7|You have decided to go to the interview. You are in the interview room and the bank accompanied by a federal agent ask why you were nosing around in their infastructure. How do you respond?|16|Tell them you were testing multiple banks as a side-job but didn't mean any harm|3|17|Don't answer the question|2|18|Tell them you used to work for the NSA and tell them that you had no bad intent|3|7.png
8|You have decided to not go to the interview. You are driving back to your house from your job and see an unmarked police car. You notice this because you used to work for the NSA, and they are easy to spot. Inside the car, are two plain-clothed officers taking photos of your house. What do you do?|19|Park the car and question the officers|2|20|Park and go inside, pretending they are not there|3|21|Keep driving|1|8.png
9|You have decided to tell the bank that you knew about the exploit. They ask you why you didn't report it before. What do you say?|22|Tell them you were going to but got sidetracked|2|23|Tell them you thought you would get in trouble|2|17|Don't answer the question|1|7.png
10|You have decided to not tell the bank that you knew about the exploit. This choice left the bank with no information about the exploit, which leads to another 3 hacks in the coming week. The bank has lost 300 million dollars.|0|START AGAIN|0|0|START AGAIN|0|0|START AGAIN|0|fail.png
